Date,id,Account Name,Amount Num.,Cash
30/11/2019,1,Baby,20.28,false
23/09/2019,2,Outdoors,2.57,false
03/01/2019,3,Shoes,47.28,true
04/07/2019,4,Jewelery,18.02,false
10/12/2019,5,Grocery,10.72,false
28/01/2019,6,Tools,24.39,false
03/07/2019,7,Books,5.17,false
30/12/2019,8,Books,42.60,false
03/02/2019,9,Grocery,1.62,true
07/04/2019,10,Baby,23.99,true
26/02/2019,11,Games,43.67,true
25/09/2019,12,Outdoors,20.08,false
12/04/2019,13,Home,14.79,true
10/08/2019,14,Garden,7.62,true
07/12/2019,15,Grocery,42.37,true
24/08/2019,16,Shoes,16.97,true
15/09/2019,17,Shoes,6.43,true
10/08/2019,18,Clothing,44.77,false
08/02/2019,19,Automotive,38.52,true
28/10/2019,20,Computers,27.66,true
14/11/2019,21,Books,35.35,true
24/08/2019,22,Beauty,12.81,true
13/02/2019,23,Home,24.78,false
07/12/2019,24,Music,42.71,true
14/09/2019,25,Electronics,19.54,true
10/10/2019,26,Computers,26.94,true
04/01/2019,27,Baby,41.43,false
18/06/2019,28,Health,32.93,true
30/06/2019,29,Beauty,48.80,false
13/06/2019,30,Movies,24.96,true
12/07/2019,31,Health,5.84,true
21/03/2019,32,Beauty,6.96,true
07/11/2019,33,Electronics,45.06,false
15/02/2019,34,Computers,49.85,false
29/07/2019,35,Baby,33.48,true
25/05/2019,36,Books,13.57,false
14/06/2019,37,Tools,43.98,true
02/06/2019,38,Electronics,40.51,true
17/09/2019,39,Garden,8.11,true
26/03/2019,40,Clothing,46.38,true
18/01/2019,41,Toys,38.94,false
20/10/2019,42,Music,23.01,false
26/05/2019,43,Music,35.40,false
20/10/2019,44,Tools,22.37,false
12/06/2019,45,Tools,46.19,false
19/10/2019,46,Automotive,27.53,false
03/10/2019,47,Health,6.07,false
06/10/2019,48,Baby,49.38,false
02/04/2019,49,Health,0.14,false
07/04/2019,50,Computers,3.41,false
05/09/2019,51,Kids,38.49,false
01/05/2019,52,Jewelery,34.77,false
25/06/2019,53,Kids,19.69,true
28/02/2019,54,Garden,42.57,true
13/03/2019,55,Tools,35.95,true
14/05/2019,56,Shoes,48.52,true
03/08/2019,57,Baby,5.87,true
10/06/2019,58,Health,37.96,false
04/08/2019,59,Music,36.70,false
04/03/2019,60,Industrial,18.31,true
27/06/2019,61,Shoes,8.37,true
22/06/2019,62,Tools,24.66,true
07/03/2019,63,Toys,43.15,true
16/05/2019,64,Electronics,11.92,false
05/10/2019,65,Music,7.34,false
18/01/2019,66,Shoes,16.73,false
08/11/2019,67,Kids,0.68,true
03/04/2019,68,Movies,27.63,false
29/09/2019,69,Shoes,18.38,true
18/03/2019,70,Movies,49.27,true
11/06/2019,71,Toys,41.03,true
04/08/2019,72,Baby,25.15,false
22/12/2019,73,Books,27.83,false
13/09/2019,74,Shoes,28.38,false
01/08/2019,75,Industrial,13.03,true
21/03/2019,76,Tools,31.37,true
28/01/2019,77,Computers,18.80,false
14/06/2019,78,Jewelery,13.38,true
07/06/2019,79,Music,46.45,false
16/07/2019,80,Baby,20.16,false
13/12/2019,81,Health,11.08,false
31/05/2019,82,Music,26.55,true
09/04/2019,83,Music,49.23,false
25/12/2019,84,Clothing,40.93,false
01/04/2019,85,Books,27.60,true
10/04/2019,86,Clothing,29.14,false
02/06/2019,87,Outdoors,41.63,true
13/06/2019,88,Kids,38.35,true
08/12/2019,89,Books,49.82,true
28/03/2019,90,Automotive,0.14,true
02/03/2019,91,Clothing,2.46,false
11/05/2019,92,Games,41.19,false
20/04/2019,93,Kids,9.99,true
15/06/2019,94,Health,28.83,false
01/12/2019,95,Garden,18.79,false
31/07/2019,96,Kids,13.95,true
09/12/2019,97,Industrial,7.91,true
07/09/2019,98,Health,30.00,true
22/05/2019,99,Kids,3.98,true
19/04/2019,100,Health,5.42,false
17/01/2019,101,Electronics,18.95,true
19/03/2019,102,Shoes,29.68,true
04/09/2019,103,Sports,45.20,true
13/01/2019,104,Music,46.93,false
29/05/2019,105,Garden,17.55,false
17/09/2019,106,Clothing,33.43,false
23/10/2019,107,Movies,37.82,false
02/03/2019,108,Industrial,28.04,true
01/03/2019,109,Shoes,4.18,false
17/10/2019,110,Garden,20.53,true
20/08/2019,111,Shoes,38.85,false
07/09/2019,112,Health,3.56,false
09/10/2019,113,Baby,19.72,true
13/03/2019,114,Books,18.43,false
24/07/2019,115,Tools,38.28,true
06/10/2019,116,Toys,0.37,true
07/03/2019,117,Grocery,38.31,true
10/04/2019,118,Kids,23.98,true
02/08/2019,119,Tools,41.45,true
01/09/2019,120,Kids,26.64,false
19/11/2019,121,Beauty,8.51,true
12/04/2019,122,Health,9.72,false
07/01/2019,123,Outdoors,24.25,false
04/03/2019,124,Electronics,14.15,true
22/08/2019,125,Toys,6.52,true
